Compound;Name;Gene Name;AOP;AOP Name;Event;Event Name;Event Class;AC50;logAC50;Intended Target Family
Aldrin; BSK_KF3CT_MCP1_down;CCL2;-;-;-;-;-;21.2;1.33;cytokine
Aldrin; BSK_KF3CT_uPA_down;PLAU;-;-;-;-;-;21.5;1.33;protease
Aldrin; BSK_3C_SRB_down;-;-;-;-;-;-;21.7;1.34;cell cycle
Aldrin; BSK_SAg_SRB_down;-;-;-;-;-;-;22.0;1.34;cell cycle
Aldrin; BSK_SAg_CD40_down;CD40;-;-;-;-;-;22.3;1.35;cytokine
Aldrin; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;22.5;1.35;nuclear receptor
Aldrin; ATG_MRE_CIS_up;MTF1;-;-;-;-;-;22.6;1.35;dna binding
Aldrin; BSK_LPS_SRB_down;-;-;-;-;-;-;23.3;1.37;cell cycle
Aldrin; BSK_KF3CT_IL1a_down;IL1A;-;-;-;-;-;23.6;1.37;cytokine
Aldrin; BSK_3C_MCP1_down;CCL2;-;-;-;-;-;24.3;1.38;cytokine
Aldrin; ATG_NF_kB_CIS_up;NFKB1;-;-;-;-;-;24.4;1.39;dna binding
Aldrin; BSK_SAg_IL8_down;CXCL8;-;-;-;-;-;24.6;1.39;cytokine
Aldrin; BSK_CASM3C_SAA_down;SAA1;-;-;-;-;-;24.7;1.39;cell adhesion molecules
Aldrin; BSK_CASM3C_MIG_down;CXCL9;-;-;-;-;-;24.7;1.39;cytokine
Aldrin; BSK_3C_TissueFactor_down;F3;-;-;-;-;-;24.8;1.39;cytokine
Aldrin; BSK_KF3CT_SRB_down;-;-;-;-;-;-;24.8;1.39;cell cycle
Aldrin; TOX21_ESRE_BLA_viability;-;-;-;-;-;-;24.8;1.39;cell cycle
Aldrin; BSK_BE3C_TGFb1_down;TGFB1;-;-;-;-;-;24.9;1.40;growth factor
Aldrin; BSK_LPS_MCSF_down;CSF1;-;-;-;-;-;24.9;1.40;cytokine
Aldrin; ATG_AP_1_CIS_up;FOS;-;-;-;-;-;25.7;1.41;dna binding
Aldrin; BSK_4H_VEGFRII_down;KDR;43;Disruption of VEGFR Signaling Leading to Developmental Defects;305;Inhibition, VegfR2 ;MIE ;25.8;1.41;kinase
Aldrin; BSK_LPS_IL8_down;CXCL8;-;-;-;-;-;25.8;1.41;cytokine
Aldrin; BSK_4H_VCAM1_down;VCAM1;-;-;-;-;-;26.0;1.42;cell adhesion molecules
Aldrin; ATG_Oct_MLP_CIS_up;POU2F1;-;-;-;-;-;26.3;1.42;dna binding
Aldrin; TOX21_PPARd_BLA_Agonist_viability;-;-;-;-;-;-;26.5;1.42;cell cycle
Aldrin; BSK_CASM3C_Proliferation_down;-;-;-;-;-;-;26.5;1.42;cell cycle
Aldrin; ATG_RORE_CIS_up;RORA;-;-;-;-;-;26.5;1.42;nuclear receptor
Aldrin; ACEA_ER_AUC_viability;-;-;-;-;-;-;27.1;1.43;cell cycle
Aldrin; BSK_3C_ICAM1_down;ICAM1;-;-;-;-;-;27.2;1.43;cell adhesion molecules
Aldrin; TOX21_FXR_BLA_antagonist_ratio;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;27.3;1.44;nuclear receptor
Aldrin; TOX21_MMP_ratio_down;-;-;-;-;-;-;27.6;1.44;cell morphology
Aldrin; APR_HepG2_MitoticArrest_72h_up;-;-;-;-;-;-;29.7;1.47;cell cycle
Aldrin; TOX21_FXR_BLA_agonist_viability;-;-;-;-;-;-;30.0;1.48;cell cycle
Aldrin; TOX21_RT_HEK293_GLO_16hr_viability;-;-;-;-;-;-;30.1;1.48;cell cycle
Aldrin; TOX21_AP1_BLA_Agonist_viability;-;-;-;-;-;-;30.3;1.48;cell cycle
Aldrin; TOX21_RT_HEK293_GLO_08hr_viability;-;-;-;-;-;-;30.3;1.48;cell cycle
Aldrin; BSK_CASM3C_MCSF_down;CSF1;-;-;-;-;-;30.4;1.48;cytokine
Aldrin; TOX21_RT_HEK293_GLO_32hr_viability;-;-;-;-;-;-;30.5;1.48;cell cycle
Aldrin; ATG_Xbp1_CIS_up;XBP1;-;-;-;-;-;30.5;1.48;dna binding
Aldrin; ATG_FXR_TRANS_up;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;30.7;1.49;nuclear receptor
Aldrin; TOX21_RT_HEK293_GLO_24hr_viability;-;-;-;-;-;-;30.7;1.49;cell cycle
Aldrin;BSK_3C_MIG_down;CXCL9;-;-;-;-;-;31.2;1.49;cytokine
Aldrin; TOX21_RT_HEK293_GLO_40hr_viability;-;-;-;-;-;-;31.7;1.50;cell cycle
Aldrin; BSK_CASM3C_HLADR_down;HLA-DRA;-;-;-;-;-;31.8;1.50;cell adhesion molecules
Aldrin; BSK_SAg_MCP1_down;CCL2;-;-;-;-;-;32.8;1.52;cytokine
Aldrin; BSK_4H_uPAR_down;PLAUR;-;-;-;-;-;32.9;1.52;cytokine
Aldrin; BSK_SAg_Eselectin_down;SELE;-;-;-;-;-;32.9;1.52;cell adhesion molecules
Aldrin; BSK_LPS_TissueFactor_down;F3;-;-;-;-;-;33.0;1.52;cytokine
Aldrin; ATG_NRF2_ARE_CIS_up;NFE2L2;-;-;-;-;-;33.1;1.52;dna binding
Aldrin; BSK_LPS_MCP1_down;CCL2;-;-;-;-;-;33.2;1.52;cytokine
Aldrin; BSK_BE3C_PAI1_down;SERPINE1;-;-;-;-;-;33.2;1.52;cytokine
Aldrin; BSK_LPS_CD40_down;CD40;-;-;-;-;-;33.5;1.52;cytokine
Aldrin; TOX21_VDR_BLA_Agonist_viability;-;-;-;-;-;-;33.7;1.53;cell cycle
Aldrin; BSK_CASM3C_LDLR_down;LDLR;-;-;-;-;-;33.7;1.53;misc protein
Aldrin; TOX21_RT_HEK293_FLO_32hr_viability;-;-;-;-;-;-;34.1;1.53;cell cycle
Aldrin; TOX21_RT_HEK293_FLO_40hr_viability;-;-;-;-;-;-;34.2;1.53;cell cycle
Aldrin; APR_HepG2_CellLoss_72h_dn;-;-;-;-;-;-;34.3;1.54;cell cycle
Aldrin; TOX21_RT_HEK293_FLO_24hr_viability;-;-;-;-;-;-;34.5;1.54;cell cycle
Aldrin; BSK_CASM3C_uPAR_down;PLAUR;-;-;-;-;-;34.9;1.54;cytokine
Aldrin; APR_HepG2_p53Act_72h_up;TP53;-;-;-;-;-;35.9;1.55;dna binding
Aldrin; BSK_CASM3C_IL8_down;CXCL8;-;-;-;-;-;36.2;1.56;cytokine
Aldrin; TOX21_RT_HEPG2_GLO_08hr_ctrl_viability;-;-;-;-;-;-;36.5;1.56;cell cycle
Aldrin; TOX21_RT_HEK293_FLO_16hr_viability;-;-;-;-;-;-;36.9;1.57;cell cycle
Aldrin; TOX21_RT_HEPG2_FLO_24hr_viability;-;-;-;-;-;-;37.1;1.57;cell cycle
Chlordane;NVS_ENZ_hPTPRF_Activator;PTPRF;-;-;-;-;-;1.33;0.125;phosphatase
Chlordane; ATG_DR5_CIS_up;RARB;-;-;-;-;-;1.78;0.251;nuclear receptor
Chlordane; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;2.04;0.309;nuclear receptor
Chlordane; ATG_VDRE_CIS_up;VDR;-;-;-;-;-;3.21;0.506;nuclear receptor
Chlordane; BSK_hDFCGF_VCAM1_down;VCAM1;-;-;-;-;-;4.32;0.635;cell adhesion molecules
Chlordane; BSK_hDFCGF_CollagenIII_down;COL3A1;-;-;-;-;-;4.50;0.654;cell adhesion molecules
Chlordane; NVS_ADME_hCYP2C19;CYP2C19;-;-;-;-;-;4.63;0.666;cyp
Chlordane; NVS_ENZ_hPTPN1_Activator;PTPN1;-;-;-;-;-;4.91;0.691;phosphatase
Chlordane; BSK_hDFCGF_IP10_down;CXCL10;-;-;-;-;-;5.02;0.701;cytokine
Chlordane; BSK_hDFCGF_MCSF_down;CSF1;-;-;-;-;-;5.07;0.705;cytokine
Chlordane; BSK_hDFCGF_Proliferation_down;-;-;-;-;-;-;5.52;0.742;cell cycle
Chlordane; ACEA_ER_80hr;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;6.17;0.791;nuclear receptor
Chlordane; BSK_hDFCGF_TIMP1_down;TIMP1;-;-;-;-;-;6.23;0.795;protease inhibitor
Chlordane; BSK_SAg_Proliferation_down;-;-;-;-;-;-;6.27;0.798;cell cycle
Chlordane; NVS_ADME_hCYP2B6;CYP2B6;-;-;-;-;-;6.41;0.807;cyp
Chlordane; BSK_hDFCGF_MMP1_down;MMP1;-;-;-;-;-;6.45;0.809;protease
Chlordane; BSK_hDFCGF_MIG_down;CXCL9;-;-;-;-;-;6.49;0.812;cytokine
Chlordane; ATG_RARg_TRANS_up;RARG;-;-;-;-;-;6.88;0.837;nuclear receptor
Chlordane; NVS_NR_hGR;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;7.13;0.853;nuclear receptor
Chlordane; BSK_hDFCGF_PAI1_down;SERPINE1;-;-;-;-;-;7.25;0.861;cytokine
Chlordane; BSK_hDFCGF_IL8_down;CXCL8;-;-;-;-;-;7.38;0.868;cytokine
Chlordane; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;7.44;0.872;nuclear receptor
Chlordane; ACEA_AR_antagonist_80hr;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;7.72;0.887;nuclear receptor
Chlordane; TOX21_TSHR_Agonist_ratio;TSHR;-;-;-;-;-;7.99;0.903;gpcr
Chlordane; OT_ER_ERbERb_0480;ESR2;-;-;-;-;-;8.09;0.908;nuclear receptor
Chlordane; TOX21_ARE_BLA_agonist_ratio;NFE2L2;-;-;-;-;-;8.21;0.914;DNA binding
Chlordane; BSK_hDFCGF_SRB_down;-;-;-;-;-;-;8.24;0.916;cell cycle
Chlordane; NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;-;-;-;-;8.94;0.951;malformation
Chlordane; BSK_KF3CT_MMP9_down;MMP9;-;-;-;-;-;10.0;1.00;protease
Chlordane; BSK_KF3CT_TGFb1_down;TGFB1;-;-;-;-;-;10.1;1.00;growth factor
Chlordane; BSK_3C_Proliferation_down;-;-;-;-;-;-;10.1;1.00;cell cycle
Chlordane; ACEA_AR_agonist_AUC_viability;-;-;-;-;-;-;10.5;1.02;cell cycle
Chlordane; BSK_SAg_PBMCCytotoxicity_down;-;-;-;-;-;-;10.5;1.02;cell cycle
Chlordane; BSK_BE3C_MMP1_up;MMP1;-;-;-;-;-;11.1;1.04;protease
Chlordane; NVS_GPCR_hDRD2s;DRD2;-;-;-;-;-;11.1;1.05;gpcr
Chlordane; BSK_4H_Pselectin_down;SELP;-;-;-;-;-;11.4;1.06;cell adhesion molecules
Chlordane; OT_ER_ERbERb_1440;ESR2;-;-;-;-;-;11.5;1.06;nuclear receptor
Chlordane; BSK_4H_MCP1_down;CCL2;-;-;-;-;-;11.6;1.06;cytokine
Chlordane; BSK_KF3CT_TIMP2_down;TIMP2;-;-;-;-;-;11.7;1.07;protease inhibitor
Chlordane; BSK_CASM3C_VCAM1_down;VCAM1;-;-;-;-;-;11.7;1.07;cell adhesion molecules
Chlordane; ACEA_AR_antagonist_AUC_viability;-;-;-;-;-;-;11.8;1.07;cell cycle
Chlordane; BSK_BE3C_HLADR_down;HLA-DRA;-;-;-;-;-;11.8;1.07;cell adhesion molecules
Chlordane; BSK_KF3CT_IL1a_down;IL1A;-;-;-;-;-;11.9;1.08;cytokine
Chlordane; TOX21_SSH_3T3_GLI3_Antagonist;GLI3;-;-;-;-;-;12.1;1.08;DNA binding
Chlordane; BSK_KF3CT_IP10_down;CXCL10;-;-;-;-;-;12.1;1.08;cytokine
Chlordane; BSK_KF3CT_uPA_down;PLAU;-;-;-;-;-;12.2;1.09;protease
Chlordane; BSK_3C_HLADR_down;HLA-DRA;-;-;-;-;-;12.2;1.09;cell adhesion molecules
Chlordane; TOX21_CAR_Agonist;NR1I3;107;Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat;715;Activation, Constitutive androstane receptor;MIE ;12.8;1.11;nuclear receptor
Chlordane; BSK_BE3C_TGFb1_down;TGFB1;-;-;-;-;-;12.8;1.11;growth factor
Chlordane; BSK_KF3CT_MCP1_down;CCL2;-;-;-;-;-;13.2;1.12;cytokine
Chlordane; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;13.6;1.13;nuclear receptor
Chlordane; BSK_3C_SRB_down;-;-;-;-;-;-;13.8;1.14;cell cycle
Chlordane; ATG_Xbp1_CIS_up;XBP1;-;-;-;-;-;13.9;1.14;dna binding
Chlordane; BSK_SAg_CD38_down;CD38;-;-;-;-;-;14.2;1.15;cytokine
Chlordane; BSK_3C_Eselectin_down;SELE;-;-;-;-;-;14.6;1.16;cell adhesion molecules
Chlordane; ATG_IR1_CIS_dn;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;14.7;1.17;nuclear receptor
Chlordane; BSK_LPS_SRB_down;-;-;-;-;-;-;14.9;1.17;cell cycle
Chlordane; BSK_LPS_CD40_down;CD40;-;-;-;-;-;15.3;1.18;cytokine
Chlordane; ATG_NRF2_ARE_CIS_up;NFE2L2;-;-;-;-;-;16.4;1.22;dna binding
Chlordane; BSK_CASM3C_Thrombomodulin_up;THBD;-;-;-;-;-;16.9;1.23;gpcr
Chlordane; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;-;-;-;-;17.2;1.23;nuclear receptor
Chlordane; ATG_ERa_TRANS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;17.5;1.24;nuclear receptor
Chlordane; BSK_CASM3C_HLADR_down;HLA-DRA;-;-;-;-;-;17.6;1.25;cell adhesion molecules
Chlordane; NIS_RAIU_inhibition;SLC5A5;-;-;-;-;-;18.6;1.27;transporter
Chlordane; BSK_SAg_MIG_down;CXCL9;-;-;-;-;-;18.7;1.27;cytokine
Chlordane; BSK_SAg_CD40_down;CD40;-;-;-;-;-;19.3;1.28;cytokine
Chlordane; BSK_LPS_Eselectin_down;SELE;-;-;-;-;-;19.8;1.30;cell adhesion molecules
Chlordane; TOX21_MMP_ratio_down;-;-;-;-;-;-;20.2;1.31;cell morphology
Chlordane; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;21.0;1.32;nuclear receptor
Chlordane; ATG_RXRb_TRANS_up;RXRB;-;-;-;-;-;21.4;1.33;nuclear receptor
Chlordane; BSK_SAg_CD69_down;CD69;-;-;-;-;-;21.5;1.33;cytokine
Chlordane; BSK_4H_VCAM1_down;VCAM1;-;-;-;-;-;21.8;1.34;cell adhesion molecules
Chlordane; TOX21_VDR_BLA_Agonist_viability;-;-;-;-;-;-;22.0;1.34;cell cycle
Chlordane; BSK_LPS_MCSF_down;CSF1;-;-;-;-;-;22.3;1.35;cytokine
Chlordane; BSK_KF3CT_SRB_down;-;-;-;-;-;-;22.5;1.35;cell cycle
Chlordane; APR_HepG2_MitoMembPot_72h_dn;-;-;-;-;-;-;22.5;1.35;cell morphology
Chlordane; BSK_3C_VCAM1_down;VCAM1;-;-;-;-;-;22.5;1.35;cell adhesion molecules
Chlordane; BSK_4H_SRB_down;-;-;-;-;-;-;22.6;1.35;cell cycle
Chlordane; TOX21_TR_LUC_GH3_Antagonist;Thrb;-;-;-;-;-;22.7;1.36;nuclear receptor
Chlordane; BSK_LPS_VCAM1_down;VCAM1;-;-;-;-;-;22.9;1.36;cell adhesion molecules
Chlordane; BSK_4H_Eotaxin3_down;CCL26;-;-;-;-;-;23.0;1.36;cytokine
Chlordane; BSK_CASM3C_Proliferation_down;-;-;-;-;-;-;23.4;1.37;cell cycle
Chlordane; ATG_EGR_CIS_up;EGR1;-;-;-;-;-;23.5;1.37;dna binding
Chlordane; BSK_BE3C_MIG_down;CXCL9;-;-;-;-;-;23.6;1.37;cytokine
Chlordane; TOX21_DT40;-;-;-;-;-;-;25.0;1.40;cell cycle
Chlordane; TOX21_RXR_BLA_Agonist_viability;-;-;-;-;-;-;25.1;1.40;cell cycle
Chlordane; BSK_LPS_TissueFactor_down;F3;-;-;-;-;-;25.3;1.40;cytokine
Chlordane; TOX21_TR_LUC_GH3_Antagonist_viability;-;-;-;-;-;-;25.5;1.41;cell cycle
Chlordane; TOX21_PPARd_BLA_Agonist_viability;-;-;-;-;-;-;25.5;1.41;cell cycle
Chlordane; APR_HepG2_CellCycleArrest_24h_dn;-;-;-;-;-;-;25.7;1.41;cell cycle
Chlordane; BSK_LPS_MCP1_down;CCL2;-;-;-;-;-;26.0;1.42;cytokine
Chlordane; BSK_3C_TissueFactor_down;F3;-;-;-;-;-;26.0;1.42;cytokine
Chlordane; TOX21_AP1_BLA_Agonist_viability;-;-;-;-;-;-;26.2;1.42;cell cycle
Chlordane; ATG_TCF_b_cat_CIS_dn;TCF7;-;-;-;-;-;26.6;1.42;dna binding
Chlordane; ATG_PPARg_TRANS_up;PPARG;163;PPARgamma activation leading to sarcomas in rats, mice, and hamsters;1028;Activation of specific nuclear receptors, PPAR-gamma activation;MIE ;26.8;1.43;nuclear receptor
Chlordane; BSK_3C_MCP1_down;CCL2;-;-;-;-;-;27.3;1.44;cytokine
Chlordane; ATG_PPRE_CIS_up;PPARA;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;27.4;1.44;nuclear receptor
Chlordane; BSK_LPS_IL8_down;CXCL8;-;-;-;-;-;27.5;1.44;cytokine
Chlordane; ATG_ISRE_CIS_dn;IRF1;-;-;-;-;-;27.6;1.44;dna binding
Chlordane; BSK_BE3C_IP10_down;CXCL10;-;-;-;-;-;27.7;1.44;cytokine
Chlordane;BSK_CASM3C_SAA_down;SAA1;-;-;-;-;-;27.9;1.45;cell adhesion molecules
Chlordane; BSK_3C_ICAM1_down;ICAM1;-;-;-;-;-;27.9;1.45;cell adhesion molecules
Chlordane; TOX21_DT40_100;-;-;-;-;-;-;27.9;1.45;cell cycle
Chlordane; BSK_3C_MIG_down;CXCL9;-;-;-;-;-;28.1;1.45;cytokine
Chlordane; BSK_3C_IL8_down;CXCL8;-;-;-;-;-;28.5;1.45;cytokine
Chlordane; BSK_CASM3C_TissueFactor_down;F3;-;-;-;-;-;28.9;1.46;cytokine
Chlordane; BSK_3C_uPAR_down;PLAUR;-;-;-;-;-;29.1;1.46;cytokine
Chlordane; BSK_SAg_IL8_down;CXCL8;-;-;-;-;-;29.3;1.47;cytokine
Chlordane; BSK_LPS_IL1a_down;IL1A;-;-;-;-;-;29.4;1.47;cytokine
Chlordane; TOX21_PPARg_BLA_antagonist_viability;-;-;-;-;-;-;29.5;1.47;cell cycle
Chlordane; ATG_HSE_CIS_up;HSF1;-;-;-;-;-;29.9;1.48;dna binding
Chlordane; BSK_BE3C_tPA_down;PLAT;-;-;-;-;-;31.0;1.49;protease
Chlordane; TOX21_FXR_BLA_agonist_viability;-;-;-;-;-;-;31.4;1.50;cell cycle
Chlordane; BSK_SAg_MCP1_down;CCL2;-;-;-;-;-;31.7;1.50;cytokine
Chlordane; BSK_CASM3C_SRB_down;-;-;-;-;-;-;31.7;1.50;cell cycle
Chlordane; BSK_LPS_TNFa_down;TNF;-;-;-;-;-;32.3;1.51;cytokine
Chlordane; BSK_3C_Vis_down;-;-;-;-;-;-;32.6;1.51;cell morphology
Chlordane; TOX21_VDR_BLA_antagonist_ratio;CYP24A1;-;-;-;-;-;32.8;1.52;nuclear receptor
Chlordane; BSK_SAg_Eselectin_down;SELE;-;-;-;-;-;33.3;1.52;cell adhesion molecules
Chlordane; TOX21_RT_HEK293_FLO_40hr_viability;-;-;-;-;-;-;33.4;1.52;cell cycle
Chlordane; BSK_BE3C_PAI1_down;SERPINE1;-;-;-;-;-;33.5;1.53;cytokine
Chlordane; BSK_SAg_SRB_down;-;-;-;-;-;-;33.6;1.53;cell cycle
Chlordane; TOX21_VDR_BLA_antagonist_viability;-;-;-;-;-;-;33.7;1.53;cell cycle
